Word 1,Word 2,Human (mean),lch_similarity
furnace,stove,8.79,1.491654876777717
food,fruit,7.52,1.491654876777717
bird,cock,7.1,3.6888794541139363
bird,crane,7.38,2.5902671654458267
tool,implement,6.46,3.6888794541139363
brother,monk,6.27,3.6888794541139363
crane,implement,2.69,2.3025850929940455
lad,brother,4.46,2.3025850929940455
journey,car,5.85,0.8556661100577202
monk,oracle,5.0,1.742969305058623
cemetery,woodland,2.08,1.6094379124341003
food,rooster,4.42,0.9808292530117262
coast,hill,4.38,2.3025850929940455
forest,graveyard,1.85,1.6094379124341003
shore,woodland,3.08,2.3025850929940455
monk,slave,0.92,2.3025850929940455
coast,forest,3.15,2.0794415416798357
lad,wizard,0.92,2.3025850929940455
chord,smile,0.54,1.3862943611198906
glass,magician,2.08,1.742969305058623
noon,string,0.54,1.2909841813155656
rooster,voyage,0.62,0.5533852381847867
money,dollar,8.42,2.3025850929940455
money,cash,9.08,2.995732273553991
money,currency,9.04,3.6888794541139363
money,wealth,8.27,3.6888794541139363
money,property,7.57,2.995732273553991
money,possession,7.29,2.5902671654458267
money,bank,8.5,1.8971199848858813
money,deposit,7.73,2.995732273553991
money,withdrawal,6.88,1.3862943611198906
money,laundering,5.65,1.2039728043259361
money,operation,3.31,1.6094379124341003
tiger,jaguar,8.0,2.995732273553991
tiger,feline,8.0,2.995732273553991
tiger,carnivore,7.08,2.5902671654458267
tiger,mammal,6.85,2.0794415416798357
tiger,animal,7.0,2.5902671654458267
tiger,organism,4.77,2.995732273553991
tiger,fauna,5.62,2.5902671654458267
tiger,zoo,5.87,1.742969305058623
psychology,psychiatry,8.08,1.8971199848858813
psychology,anxiety,7.0,1.2039728043259361
psychology,fear,6.85,1.2039728043259361
psychology,depression,7.42,1.2909841813155656
psychology,clinic,6.58,1.1239300966523995
psychology,doctor,6.42,1.2039728043259361
psychology,Freud,8.21,0.7444404749474959
psychology,mind,7.69,1.8971199848858813
psychology,health,7.23,1.2909841813155656
psychology,science,6.71,3.6888794541139363
psychology,discipline,5.58,2.995732273553991
psychology,cognition,7.48,2.0794415416798357
planet,star,8.45,2.995732273553991
planet,constellation,8.06,2.5902671654458267
planet,moon,8.08,2.5902671654458267
planet,sun,8.02,2.5902671654458267
planet,galaxy,8.11,1.742969305058623
planet,space,7.92,1.8971199848858813
planet,astronomer,7.94,2.0794415416798357
precedent,example,5.85,3.6888794541139363
precedent,information,3.85,2.995732273553991
precedent,cognition,2.81,2.5902671654458267
precedent,law,6.65,3.6888794541139363
precedent,collection,2.5,2.995732273553991
precedent,group,1.77,2.5902671654458267
precedent,antecedent,6.04,2.0794415416798357
cup,coffee,6.58,2.0794415416798357
cup,tableware,6.85,2.995732273553991
cup,article,2.4,2.3025850929940455
cup,artifact,2.92,2.5902671654458267
cup,object,3.69,2.0794415416798357
cup,entity,2.15,2.0794415416798357
cup,drink,7.25,2.3025850929940455
cup,food,5.0,2.0794415416798357
cup,substance,1.92,1.8971199848858813
cup,liquid,5.9,2.0794415416798357
jaguar,cat,7.42,3.6888794541139363
jaguar,car,7.27,0.916290731874155
energy,secretary,1.81,1.3862943611198906
secretary,senate,5.06,1.1239300966523995
energy,laboratory,5.09,1.491654876777717
computer,laboratory,6.78,1.6094379124341003
weapon,secret,6.06,1.3862943611198906
FBI,fingerprint,6.94,1.2039728043259361
FBI,investigation,8.31,1.0498221244986778
investigation,effort,4.59,2.5902671654458267
Mars,water,2.94,2.3025850929940455
Mars,scientist,5.63,1.491654876777717
news,report,8.16,3.6888794541139363
canyon,landscape,7.53,1.2909841813155656
image,surface,4.56,2.3025850929940455
discovery,space,6.34,1.8971199848858813
water,seepage,6.56,1.2909841813155656
sign,recess,2.38,2.995732273553991
Wednesday,news,2.22,1.2909841813155656
mile,kilometer,8.66,2.5902671654458267
computer,news,4.47,1.3862943611198906
territory,surface,5.34,2.0794415416798357
atmosphere,landscape,3.69,1.6094379124341003
president,medal,3.0,1.2039728043259361
war,troops,8.13,1.491654876777717
record,number,6.31,3.6888794541139363
skin,eye,6.22,2.0794415416798357
Japanese,American,6.5,2.5902671654458267
theater,history,3.91,1.8971199848858813
volunteer,motto,2.56,1.2909841813155656
prejudice,recognition,3.0,2.0794415416798357
decoration,valor,5.63,1.2909841813155656
century,year,7.59,2.995732273553991
century,nation,3.16,1.742969305058623
delay,racism,1.19,1.8971199848858813
delay,news,3.31,1.742969305058623
minister,party,6.63,2.0794415416798357
peace,plan,4.75,1.491654876777717
minority,peace,3.69,2.0794415416798357
attempt,peace,4.25,1.491654876777717
government,crisis,6.56,1.8971199848858813
deployment,departure,4.25,2.3025850929940455
deployment,withdrawal,5.88,2.3025850929940455
energy,crisis,5.94,1.8971199848858813
announcement,news,7.56,2.3025850929940455
announcement,effort,2.75,1.491654876777717
stroke,hospital,7.03,1.3862943611198906
disability,death,5.47,1.742969305058623
victim,emergency,6.47,1.491654876777717
treatment,recovery,7.91,2.5902671654458267
journal,association,4.97,1.8971199848858813
doctor,personnel,5.0,1.2909841813155656
doctor,liability,5.19,1.2909841813155656
liability,insurance,7.03,1.8971199848858813
school,center,3.44,2.995732273553991
reason,hypertension,2.31,1.6094379124341003
reason,criterion,5.91,1.742969305058623
hundred,percent,7.38,1.2039728043259361
Harvard,Yale,8.13,2.995732273553991
hospital,infrastructure,4.63,1.2909841813155656
death,row,5.25,1.742969305058623
death,inmate,5.03,1.3862943611198906
lawyer,evidence,6.69,1.3862943611198906
life,death,7.88,2.995732273553991
life,term,4.5,2.995732273553991
word,similarity,4.75,1.6094379124341003
board,recommendation,4.47,1.2909841813155656
governor,interview,3.25,1.1239300966523995
OPEC,country,5.63,1.8971199848858813
peace,atmosphere,3.69,2.3025850929940455
peace,insurance,2.94,2.5902671654458267
territory,kilometer,5.28,1.2039728043259361
travel,activity,5.0,2.0794415416798357
competition,price,6.44,1.742969305058623
consumer,confidence,4.13,1.2909841813155656
consumer,energy,4.75,1.491654876777717
problem,airport,2.38,1.1239300966523995
car,flight,4.94,1.742969305058623
credit,card,8.06,2.0794415416798357
credit,information,5.31,2.5902671654458267
hotel,reservation,8.03,1.3862943611198906
grocery,money,5.94,1.1239300966523995
registration,arrangement,6.0,2.3025850929940455
arrangement,accommodation,5.41,1.8971199848858813
month,hotel,1.81,1.2909841813155656
type,kind,8.97,3.6888794541139363
arrival,hotel,6.0,1.491654876777717
bed,closet,6.72,2.5902671654458267
closet,clothes,8.0,1.742969305058623
situation,conclusion,4.81,1.8971199848858813
situation,isolation,3.88,2.5902671654458267
impartiality,interest,5.16,1.6094379124341003
direction,combination,2.25,1.8971199848858813
street,place,6.44,2.0794415416798357
street,avenue,8.88,3.6888794541139363
street,block,6.88,2.0794415416798357
street,children,4.94,1.491654876777717
listing,proximity,2.56,1.2039728043259361
listing,category,6.38,1.6094379124341003
cell,phone,7.81,2.995732273553991
production,hike,1.75,1.742969305058623
benchmark,index,4.25,2.5902671654458267
media,trading,3.88,1.8971199848858813
media,gain,2.88,1.8971199848858813
dividend,payment,7.63,2.995732273553991
dividend,calculation,6.48,1.3862943611198906
calculation,computation,8.44,2.3025850929940455
currency,market,7.5,1.491654876777717
OPEC,oil,8.59,1.1239300966523995
oil,stock,6.34,1.6094379124341003
announcement,production,3.38,1.8971199848858813
announcement,warning,6.0,2.0794415416798357
profit,warning,3.88,1.3862943611198906
profit,loss,7.63,2.0794415416798357
dollar,yen,7.78,2.5902671654458267
dollar,buck,9.22,1.8971199848858813
dollar,profit,7.38,1.491654876777717
dollar,loss,6.09,1.6094379124341003
computer,software,8.5,1.2039728043259361
network,hardware,8.31,2.5902671654458267
phone,equipment,7.13,2.995732273553991
equipment,maker,5.91,1.6094379124341003
luxury,car,6.47,1.0498221244986778
five,month,3.38,1.742969305058623
report,gain,3.63,1.742969305058623
investor,earning,7.13,0.0
liquid,water,7.89,3.6888794541139363
baseball,season,5.97,1.0498221244986778
game,victory,7.03,1.8971199848858813
game,team,7.69,1.491654876777717
marathon,sprint,7.47,1.3862943611198906
game,series,6.19,2.995732273553991
game,defeat,6.97,1.8971199848858813
seven,series,3.56,1.6094379124341003
seafood,sea,7.47,1.742969305058623
seafood,food,8.34,3.6888794541139363
seafood,lobster,8.7,2.995732273553991
lobster,food,7.81,2.5902671654458267
lobster,wine,5.7,1.3862943611198906
food,preparation,6.22,1.8971199848858813
video,archive,6.34,1.6094379124341003
start,year,4.06,2.0794415416798357
start,match,4.47,2.5902671654458267
game,round,5.97,2.995732273553991
boxing,round,7.61,1.8971199848858813
championship,tournament,8.36,2.995732273553991
fighting,defeating,7.41,1.3862943611198906
line,insurance,2.69,2.3025850929940455
day,summer,3.94,2.5902671654458267
summer,drought,7.16,2.5902671654458267
summer,nature,5.63,1.6094379124341003
day,dawn,7.53,2.995732273553991
nature,environment,8.31,2.0794415416798357
environment,ecology,8.81,3.6888794541139363
nature,man,6.25,2.5902671654458267
man,woman,8.3,2.995732273553991
man,governor,5.25,2.3025850929940455
murder,manslaughter,8.53,2.995732273553991
soap,opera,7.94,1.1239300966523995
opera,performance,6.88,1.491654876777717
life,lesson,5.94,1.742969305058623
focus,life,4.06,1.8971199848858813
production,crew,6.25,1.742969305058623
television,film,7.72,2.3025850929940455
lover,quarrel,6.19,1.2039728043259361
viewer,serial,2.97,1.3862943611198906
possibility,girl,1.94,1.3862943611198906
population,development,3.75,1.8971199848858813
morality,importance,3.31,2.3025850929940455
morality,marriage,3.69,2.0794415416798357
Mexico,Brazil,7.44,2.3025850929940455
gender,equality,6.41,1.742969305058623
change,attitude,5.44,2.0794415416798357
family,planning,6.25,1.491654876777717
opera,industry,2.63,1.3862943611198906
sugar,approach,0.88,1.3862943611198906
practice,institution,3.19,2.995732273553991
ministry,culture,4.69,1.742969305058623
problem,challenge,6.75,2.0794415416798357
size,prominence,5.31,2.0794415416798357
country,citizen,7.31,1.6094379124341003
planet,people,5.75,1.6094379124341003
development,issue,3.97,2.5902671654458267
experience,music,3.47,2.0794415416798357
music,project,3.63,2.5902671654458267
glass,metal,5.56,2.0794415416798357
aluminum,metal,7.83,3.6888794541139363
chance,credibility,3.88,2.0794415416798357
exhibit,memorabilia,5.31,1.6094379124341003
concert,virtuoso,6.81,1.2039728043259361
rock,jazz,7.59,2.995732273553991
museum,theater,7.19,1.8971199848858813
observation,architecture,4.38,2.0794415416798357
space,world,6.53,2.3025850929940455
preservation,world,6.19,1.8971199848858813
admission,ticket,7.69,1.8971199848858813
shower,thunderstorm,6.31,1.8971199848858813
shower,flood,6.03,2.3025850929940455
weather,forecast,8.34,1.1239300966523995
disaster,area,6.25,1.6094379124341003
governor,office,6.34,1.491654876777717
architecture,century,3.78,1.491654876777717
