Word 1,Word 2,Human (mean),wup_similarity
monk,slave,0.92,0.6666666666666666
coast,forest,3.15,0.5454545454545454
lad,wizard,0.92,0.6666666666666666
chord,smile,0.54,0.375
glass,magician,2.08,0.47058823529411764
noon,string,0.54,0.26666666666666666
rooster,voyage,0.62,0.08
money,dollar,8.42,0.7777777777777778
money,cash,9.08,0.875
money,currency,9.04,0.9333333333333333
money,wealth,8.27,0.9230769230769231
money,property,7.57,0.8333333333333334
money,possession,7.29,0.7272727272727273
money,bank,8.5,0.5714285714285714
money,deposit,7.73,0.875
money,withdrawal,6.88,0.2857142857142857
money,laundering,5.65,0.25
money,operation,3.31,0.3333333333333333
tiger,jaguar,8.0,0.9333333333333333
tiger,feline,8.0,0.9285714285714286
tiger,carnivore,7.08,0.8888888888888888
tiger,mammal,6.85,0.6666666666666666
tiger,animal,7.0,0.8
tiger,organism,4.77,0.8571428571428571
tiger,fauna,5.62,0.8
tiger,zoo,5.87,0.5333333333333333
psychology,psychiatry,8.08,0.7272727272727273
psychology,anxiety,7.0,0.25
psychology,fear,6.85,0.25
psychology,depression,7.42,0.35294117647058826
psychology,clinic,6.58,0.23529411764705882
psychology,doctor,6.42,0.3333333333333333
psychology,Freud,8.21,0.09523809523809523
psychology,mind,7.69,0.5882352941176471
psychology,health,7.23,0.26666666666666666
psychology,science,6.71,0.9411764705882353
psychology,discipline,5.58,0.875
psychology,cognition,7.48,0.6153846153846154
planet,star,8.45,0.6666666666666666
planet,constellation,8.06,0.7692307692307693
planet,moon,8.08,0.631578947368421
planet,sun,8.02,0.631578947368421
planet,galaxy,8.11,0.631578947368421
planet,space,7.92,0.47058823529411764
planet,astronomer,7.94,0.631578947368421
precedent,example,5.85,0.9230769230769231
precedent,information,3.85,0.8333333333333334
precedent,cognition,2.81,0.7272727272727273
precedent,law,6.65,0.9090909090909091
precedent,collection,2.5,0.8
precedent,group,1.77,0.6666666666666666
precedent,antecedent,6.04,0.6153846153846154
cup,coffee,6.58,0.7619047619047619
cup,tableware,6.85,0.8888888888888888
cup,article,2.4,0.75
cup,artifact,2.92,0.7692307692307693
cup,object,3.69,0.5454545454545454
cup,entity,2.15,0.2857142857142857
cup,drink,7.25,0.8
cup,food,5.0,0.6666666666666666
cup,substance,1.92,0.47058823529411764
cup,liquid,5.9,0.7368421052631579
jaguar,cat,7.42,0.9655172413793104
jaguar,car,7.27,0.3333333333333333
energy,secretary,1.81,0.2857142857142857
secretary,senate,5.06,0.13333333333333333
energy,laboratory,5.09,0.3076923076923077
computer,laboratory,6.78,0.42857142857142855
weapon,secret,6.06,0.2857142857142857
FBI,fingerprint,6.94,0.25
FBI,investigation,8.31,0.2222222222222222
investigation,effort,4.59,0.8235294117647058
Mars,water,2.94,0.5
Mars,scientist,5.63,0.47058823529411764
news,report,8.16,0.8333333333333334
canyon,landscape,7.53,0.35294117647058826
image,surface,4.56,0.5714285714285714
discovery,space,6.34,0.4
water,seepage,6.56,0.23529411764705882
sign,recess,2.38,0.75
Wednesday,news,2.22,0.26666666666666666
mile,kilometer,8.66,0.8
computer,news,4.47,0.16666666666666666
territory,surface,5.34,0.6153846153846154
atmosphere,landscape,3.69,0.5
president,medal,3.0,0.23529411764705882
war,troops,8.13,0.25
record,number,6.31,0.9090909090909091
skin,eye,6.22,0.6666666666666666
Japanese,American,6.5,0.631578947368421
theater,history,3.91,0.5
volunteer,motto,2.56,0.15384615384615385
prejudice,recognition,3.0,0.6666666666666666
decoration,valor,5.63,0.26666666666666666
century,year,7.59,0.8333333333333334
century,nation,3.16,0.36363636363636365
delay,racism,1.19,0.625
delay,news,3.31,0.5333333333333333
minister,party,6.63,0.631578947368421
peace,plan,4.75,0.3076923076923077
minority,peace,3.69,0.6153846153846154
attempt,peace,4.25,0.3076923076923077
government,crisis,6.56,0.5714285714285714
deployment,departure,4.25,0.7142857142857143
deployment,withdrawal,5.88,0.7777777777777778
energy,crisis,5.94,0.625
announcement,news,7.56,0.6666666666666666
announcement,effort,2.75,0.3076923076923077
stroke,hospital,7.03,0.4
disability,death,5.47,0.5333333333333333
victim,emergency,6.47,0.4444444444444444
treatment,recovery,7.91,0.7692307692307693
journal,association,4.97,0.4
doctor,personnel,5.0,0.26666666666666666
doctor,liability,5.19,0.26666666666666666
liability,insurance,7.03,0.625
school,center,3.44,0.875
reason,hypertension,2.31,0.5555555555555556
reason,criterion,5.91,0.5333333333333333
hundred,percent,7.38,0.25
Harvard,Yale,8.13,0.9166666666666666
hospital,infrastructure,4.63,0.26666666666666666
death,row,5.25,0.5
death,inmate,5.03,0.2857142857142857
lawyer,evidence,6.69,0.16666666666666666
life,death,7.88,0.8571428571428571
life,term,4.5,0.8571428571428571
word,similarity,4.75,0.45454545454545453
board,recommendation,4.47,0.26666666666666666
governor,interview,3.25,0.13333333333333333
OPEC,country,5.63,0.625
peace,atmosphere,3.69,0.7142857142857143
peace,insurance,2.94,0.7
territory,kilometer,5.28,0.25
travel,activity,5.0,0.6666666666666666
competition,price,6.44,0.5454545454545454
consumer,confidence,4.13,0.15384615384615385
consumer,energy,4.75,0.3076923076923077
problem,airport,2.38,0.13333333333333333
car,flight,4.94,0.5882352941176471
credit,card,8.06,0.6153846153846154
credit,information,5.31,0.7272727272727273
hotel,reservation,8.03,0.375
grocery,money,5.94,0.13333333333333333
registration,arrangement,6.0,0.6666666666666666
arrangement,accommodation,5.41,0.6666666666666666
month,hotel,1.81,0.15384615384615385
type,kind,8.97,0.9473684210526315
arrival,hotel,6.0,0.47058823529411764
bed,closet,6.72,0.8421052631578947
closet,clothes,8.0,0.5882352941176471
situation,conclusion,4.81,0.625
situation,isolation,3.88,0.7272727272727273
impartiality,interest,5.16,0.4
direction,combination,2.25,0.6666666666666666
street,place,6.44,0.6153846153846154
street,avenue,8.88,0.9473684210526315
street,block,6.88,0.6666666666666666
street,children,4.94,0.47058823529411764
listing,proximity,2.56,0.3157894736842105
listing,category,6.38,0.375
cell,phone,7.81,0.9
production,hike,1.75,0.5882352941176471
benchmark,index,4.25,0.7692307692307693
media,trading,3.88,0.625
media,gain,2.88,0.46153846153846156
dividend,payment,7.63,0.8888888888888888
dividend,calculation,6.48,0.2857142857142857
calculation,computation,8.44,1.0
currency,market,7.5,0.3076923076923077
OPEC,oil,8.59,0.23529411764705882
oil,stock,6.34,0.5263157894736842
announcement,production,3.38,0.5
announcement,warning,6.0,0.6153846153846154
profit,warning,3.88,0.2857142857142857
profit,loss,7.63,0.7058823529411765
dollar,yen,7.78,0.8
dollar,buck,9.22,1.0
dollar,profit,7.38,0.3076923076923077
dollar,loss,6.09,0.3333333333333333
computer,software,8.5,0.14285714285714285
network,hardware,8.31,0.8
phone,equipment,7.13,0.875
equipment,maker,5.91,0.5
luxury,car,6.47,0.125
five,month,3.38,0.46153846153846156
report,gain,3.63,0.4
investor,earning,7.13,0.0
liquid,water,7.89,0.9333333333333333
baseball,season,5.97,0.2222222222222222
game,victory,7.03,0.5714285714285714
game,team,7.69,0.3076923076923077
marathon,sprint,7.47,0.5
game,series,6.19,0.8571428571428571
game,defeat,6.97,0.5714285714285714
seven,series,3.56,0.375
seafood,sea,7.47,0.36363636363636365
seafood,food,8.34,0.9090909090909091
seafood,lobster,8.7,0.8571428571428571
lobster,food,7.81,0.7692307692307693
lobster,wine,5.7,0.375
food,preparation,6.22,0.5714285714285714
video,archive,6.34,0.5555555555555556
start,year,4.06,0.5454545454545454
start,match,4.47,0.4
game,round,5.97,0.5
boxing,round,7.61,0.7272727272727273
championship,tournament,8.36,0.8571428571428571
fighting,defeating,7.41,0.5
line,insurance,2.69,0.7142857142857143
day,summer,3.94,0.7692307692307693
summer,drought,7.16,0.7692307692307693
summer,nature,5.63,0.3333333333333333
day,dawn,7.53,0.8333333333333334
nature,environment,8.31,0.5454545454545454
environment,ecology,8.81,0.9230769230769231
nature,man,6.25,0.47058823529411764
man,woman,8.3,0.6666666666666666
man,governor,5.25,0.6666666666666666
murder,manslaughter,8.53,0.9166666666666666
soap,opera,7.94,0.2222222222222222
opera,performance,6.88,0.3076923076923077
life,lesson,5.94,0.42857142857142855
focus,life,4.06,0.46153846153846156
production,crew,6.25,0.36363636363636365
television,film,7.72,0.7777777777777778
lover,quarrel,6.19,0.4
viewer,serial,2.97,0.5
possibility,girl,1.94,0.16666666666666666
population,development,3.75,0.7272727272727273
morality,importance,3.31,0.6666666666666666
morality,marriage,3.69,0.5454545454545454
Mexico,Brazil,7.44,0.8
gender,equality,6.41,0.46153846153846156
change,attitude,5.44,0.5454545454545454
family,planning,6.25,0.3076923076923077
opera,industry,2.63,0.2857142857142857
sugar,approach,0.88,0.25
practice,institution,3.19,0.8333333333333334
ministry,culture,4.69,0.5333333333333333
problem,challenge,6.75,0.6153846153846154
size,prominence,5.31,0.6153846153846154
country,citizen,7.31,0.42857142857142855
planet,people,5.75,0.2
development,issue,3.97,0.75
experience,music,3.47,0.6153846153846154
music,project,3.63,0.8
glass,metal,5.56,0.5454545454545454
aluminum,metal,7.83,0.9333333333333333
chance,credibility,3.88,0.5
exhibit,memorabilia,5.31,0.42857142857142855
concert,virtuoso,6.81,0.14285714285714285
rock,jazz,7.59,0.875
museum,theater,7.19,0.625
observation,architecture,4.38,0.7058823529411765
space,world,6.53,0.46153846153846156
preservation,world,6.19,0.5882352941176471
admission,ticket,7.69,0.5714285714285714
shower,thunderstorm,6.31,0.7
shower,flood,6.03,0.6363636363636364
weather,forecast,8.34,0.25
disaster,area,6.25,0.5
governor,office,6.34,0.5263157894736842
architecture,century,3.78,0.3076923076923077
