Word 1,Word 2,Human (mean),sp_similarity
planet,space,7.92,6.0
planet,astronomer,7.94,5.0
precedent,example,5.85,1.0
precedent,information,3.85,2.0
precedent,cognition,2.81,3.0
precedent,law,6.65,1.0
precedent,collection,2.5,2.0
precedent,group,1.77,3.0
precedent,antecedent,6.04,5.0
cup,coffee,6.58,5.0
cup,tableware,6.85,2.0
cup,article,2.4,4.0
cup,artifact,2.92,3.0
cup,object,3.69,5.0
cup,entity,2.15,5.0
cup,drink,7.25,4.0
cup,food,5.0,5.0
cup,substance,1.92,6.0
cup,liquid,5.9,5.0
jaguar,cat,7.42,1.0
jaguar,car,7.27,16.0
energy,secretary,1.81,10.0
secretary,senate,5.06,13.0
energy,laboratory,5.09,9.0
computer,laboratory,6.78,8.0
weapon,secret,6.06,10.0
FBI,fingerprint,6.94,12.0
FBI,investigation,8.31,14.0
investigation,effort,4.59,3.0
Mars,water,2.94,4.0
Mars,scientist,5.63,9.0
news,report,8.16,1.0
canyon,landscape,7.53,11.0
image,surface,4.56,4.0
discovery,space,6.34,6.0
water,seepage,6.56,11.0
sign,recess,2.38,2.0
Wednesday,news,2.22,11.0
mile,kilometer,8.66,3.0
computer,news,4.47,10.0
territory,surface,5.34,5.0
atmosphere,landscape,3.69,8.0
president,medal,3.0,12.0
war,troops,8.13,9.0
record,number,6.31,1.0
skin,eye,6.22,5.0
Japanese,American,6.5,3.0
theater,history,3.91,6.0
volunteer,motto,2.56,11.0
prejudice,recognition,3.0,5.0
decoration,valor,5.63,11.0
century,year,7.59,2.0
century,nation,3.16,7.0
delay,racism,1.19,6.0
delay,news,3.31,7.0
minister,party,6.63,5.0
peace,plan,4.75,9.0
minority,peace,3.69,5.0
attempt,peace,4.25,9.0
government,crisis,6.56,6.0
deployment,departure,4.25,4.0
deployment,withdrawal,5.88,4.0
energy,crisis,5.94,6.0
announcement,news,7.56,4.0
announcement,effort,2.75,9.0
stroke,hospital,7.03,10.0
disability,death,5.47,7.0
victim,emergency,6.47,9.0
treatment,recovery,7.91,3.0
journal,association,4.97,6.0
doctor,personnel,5.0,11.0
doctor,liability,5.19,11.0
liability,insurance,7.03,6.0
school,center,3.44,2.0
reason,hypertension,2.31,8.0
reason,criterion,5.91,7.0
hundred,percent,7.38,12.0
Harvard,Yale,8.13,2.0
hospital,infrastructure,4.63,11.0
death,row,5.25,7.0
death,inmate,5.03,10.0
lawyer,evidence,6.69,10.0
life,death,7.88,2.0
life,term,4.5,2.0
word,similarity,4.75,8.0
board,recommendation,4.47,11.0
governor,interview,3.25,13.0
OPEC,country,5.63,6.0
peace,atmosphere,3.69,4.0
peace,insurance,2.94,3.0
territory,kilometer,5.28,12.0
travel,activity,5.0,5.0
competition,price,6.44,7.0
consumer,confidence,4.13,11.0
consumer,energy,4.75,9.0
problem,airport,2.38,13.0
car,flight,4.94,7.0
credit,card,8.06,5.0
credit,information,5.31,3.0
hotel,reservation,8.03,10.0
grocery,money,5.94,13.0
registration,arrangement,6.0,4.0
arrangement,accommodation,5.41,6.0
month,hotel,1.81,11.0
type,kind,8.97,1.0
arrival,hotel,6.0,9.0
bed,closet,6.72,3.0
closet,clothes,8.0,7.0
situation,conclusion,4.81,6.0
situation,isolation,3.88,3.0
impartiality,interest,5.16,8.0
direction,combination,2.25,6.0
street,place,6.44,5.0
street,avenue,8.88,1.0
street,block,6.88,5.0
street,children,4.94,9.0
listing,proximity,2.56,12.0
listing,category,6.38,8.0
cell,phone,7.81,2.0
production,hike,1.75,7.0
benchmark,index,4.25,3.0
media,trading,3.88,6.0
media,gain,2.88,6.0
dividend,payment,7.63,2.0
dividend,calculation,6.48,10.0
calculation,computation,8.44,0.0
currency,market,7.5,9.0
OPEC,oil,8.59,13.0
oil,stock,6.34,8.0
announcement,production,3.38,6.0
announcement,warning,6.0,5.0
profit,warning,3.88,10.0
profit,loss,7.63,5.0
dollar,yen,7.78,3.0
dollar,buck,9.22,0.0
dollar,profit,7.38,9.0
dollar,loss,6.09,8.0
computer,software,8.5,12.0
network,hardware,8.31,3.0
phone,equipment,7.13,2.0
equipment,maker,5.91,8.0
luxury,car,6.47,14.0
five,month,3.38,7.0
report,gain,3.63,7.0
investor,earning,7.13,0.0
liquid,water,7.89,1.0
baseball,season,5.97,14.0
game,victory,7.03,6.0
game,team,7.69,9.0
marathon,sprint,7.47,10.0
game,series,6.19,2.0
game,defeat,6.97,6.0
seven,series,3.56,8.0
seafood,sea,7.47,7.0
seafood,food,8.34,1.0
seafood,lobster,8.7,2.0
lobster,food,7.81,3.0
lobster,wine,5.7,10.0
food,preparation,6.22,6.0
video,archive,6.34,8.0
start,year,4.06,5.0
start,match,4.47,3.0
game,round,5.97,2.0
boxing,round,7.61,6.0
championship,tournament,8.36,2.0
fighting,defeating,7.41,10.0
line,insurance,2.69,4.0
day,summer,3.94,3.0
summer,drought,7.16,3.0
summer,nature,5.63,8.0
day,dawn,7.53,2.0
nature,environment,8.31,5.0
environment,ecology,8.81,1.0
nature,man,6.25,3.0
man,woman,8.3,2.0
man,governor,5.25,4.0
murder,manslaughter,8.53,2.0
soap,opera,7.94,13.0
opera,performance,6.88,9.0
life,lesson,5.94,7.0
focus,life,4.06,6.0
production,crew,6.25,7.0
television,film,7.72,4.0
lover,quarrel,6.19,12.0
viewer,serial,2.97,10.0
possibility,girl,1.94,10.0
population,development,3.75,6.0
morality,importance,3.31,4.0
morality,marriage,3.69,5.0
Mexico,Brazil,7.44,4.0
gender,equality,6.41,7.0
change,attitude,5.44,5.0
family,planning,6.25,9.0
opera,industry,2.63,10.0
sugar,approach,0.88,10.0
practice,institution,3.19,2.0
ministry,culture,4.69,7.0
problem,challenge,6.75,5.0
size,prominence,5.31,5.0
country,citizen,7.31,8.0
planet,people,5.75,8.0
development,issue,3.97,3.0
experience,music,3.47,5.0
music,project,3.63,3.0
glass,metal,5.56,5.0
aluminum,metal,7.83,1.0
chance,credibility,3.88,5.0
exhibit,memorabilia,5.31,8.0
concert,virtuoso,6.81,12.0
rock,jazz,7.59,2.0
museum,theater,7.19,6.0
observation,architecture,4.38,5.0
space,world,6.53,4.0
preservation,world,6.19,6.0
admission,ticket,7.69,6.0
shower,thunderstorm,6.31,6.0
shower,flood,6.03,4.0
weather,forecast,8.34,13.0
disaster,area,6.25,8.0
governor,office,6.34,9.0
architecture,century,3.78,9.0
