Word 1,Word 2,Human (mean),lch_similarity
country,citizen,7.31,1.4403615823901665
planet,people,5.75,1.4403615823901665
development,issue,3.97,2.2512917986064953
experience,music,3.47,1.845826690498331
music,project,3.63,2.2512917986064953
glass,metal,5.56,1.845826690498331
aluminum,metal,7.83,2.9444389791664407
chance,credibility,3.88,1.845826690498331
exhibit,memorabilia,5.31,1.4403615823901665
concert,virtuoso,6.81,1.072636802264849
rock,jazz,7.59,2.538973871058276
museum,theater,7.19,1.6916760106710724
observation,architecture,4.38,1.845826690498331
space,world,6.53,2.0281482472922856
preservation,world,6.19,1.6916760106710724
admission,ticket,7.69,1.6916760106710724
shower,thunderstorm,6.31,1.6916760106710724
shower,flood,6.03,1.6486586255873816
weather,forecast,8.34,0.9985288301111273
disaster,area,6.25,1.4403615823901665
governor,office,6.34,1.3350010667323402
architecture,century,3.78,1.3350010667323402
